[Year],[State],[S&E Fields],[SEH Fields],[Public or Private],[Sex],[Citizenship],[Graduate Students]
2018,Virginia,Science and engineering,Science,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"1,594"
2018,Virginia,Science and engineering,Science,Private,Male,Foreign nationals,39
2018,Virginia,Science and engineering,Science,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"3,401"
2018,Virginia,Science and engineering,Science,Private,Female,Foreign nationals,57
2018,Virginia,Science and engineering,Engineering,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"1,902"
2018,Virginia,Science and engineering,Engineering,Public,Male,Foreign nationals,"1,395"
2018,Virginia,Science and engineering,Engineering,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),623
2018,Virginia,Science and engineering,Engineering,Public,Female,Foreign nationals,465
2018,New Hampshire,Science and engineering,Science,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),319
2018,New Hampshire,Science and engineering,Science,Public,Male,Foreign nationals,122
2018,New Hampshire,Science and engineering,Science,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),255
2018,New Hampshire,Science and engineering,Science,Public,Female,Foreign nationals,64
2018,New Hampshire,Science and engineering,Science,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),172
2018,New Hampshire,Science and engineering,Science,Private,Male,Foreign nationals,137
2018,New Hampshire,Science and engineering,Science,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),186
2018,New Hampshire,Science and engineering,Science,Private,Female,Foreign nationals,79
2018,New Hampshire,Science and engineering,Engineering,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),74
2018,New Hampshire,Science and engineering,Engineering,Public,Male,Foreign nationals,58
2018,New Hampshire,Science and engineering,Engineering,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),36
2018,New Hampshire,Science and engineering,Engineering,Public,Female,Foreign nationals,32
2018,New Hampshire,Science and engineering,Engineering,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),73
2018,New Hampshire,Science and engineering,Engineering,Private,Male,Foreign nationals,69
2018,New Hampshire,Science and engineering,Engineering,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),28
